"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"25","a9888","TA888","v9888","0.554493485835462","-0.00313918298048032","0.366222408001164","index.data$a9888* (-1)+index.data$TA888*(-0.00313918298048032)+index.data$v9888*(0.366222408001164)","20140101T20151231"
"71","c9888","TA888","v9888","0.541315493745281","-0.147889564284555","0.526402523286989","index.data$c9888* (-1)+index.data$TA888*(-0.147889564284555)+index.data$v9888*(0.526402523286989)","20140101T20151231"
"16","a9888","c9888","l9888","0.539177494774781","0.453766316459295","0.0869015357823211","index.data$a9888* (-1)+index.data$c9888*(0.453766316459295)+index.data$l9888*(0.0869015357823211)","20140101T20151231"
"17","a9888","c9888","p9888","0.520199907461772","0.501290032098661","0.161386932469775","index.data$a9888* (-1)+index.data$c9888*(0.501290032098661)+index.data$p9888*(0.161386932469775)","20140101T20151231"
"2","a9888","y9888","c9888","0.512452725760053","0.150321390833697","0.604297659029211","index.data$a9888* (-1)+index.data$y9888*(0.150321390833697)+index.data$c9888*(0.604297659029211)","20140101T20151231"
"11","a9888","m9888","l9888","0.452692832546901","0.192604693552142","0.0783737642493852","index.data$a9888* (-1)+index.data$m9888*(0.192604693552142)+index.data$l9888*(0.0783737642493852)","20140101T20151231"
"6","a9888","y9888","p9888","0.451893914642933","-0.425394413609615","0.637274474375035","index.data$a9888* (-1)+index.data$y9888*(-0.425394413609615)+index.data$p9888*(0.637274474375035)","20140101T20151231"
"73","c9888","l9888","v9888","0.451819657274914","-0.0628275227199573","0.421248320302932","index.data$c9888* (-1)+index.data$l9888*(-0.0628275227199573)+index.data$v9888*(0.421248320302932)","20140101T20151231"
"10","a9888","m9888","TA888","0.448181504163241","0.218166012132135","0.0887580726319568","index.data$a9888* (-1)+index.data$m9888*(0.218166012132135)+index.data$TA888*(0.0887580726319568)","20140101T20151231"
"75","SR888","TA888","l9888","0.447068690262203","-0.423003087058705","0.132467406220621","index.data$SR888* (-1)+index.data$TA888*(-0.423003087058705)+index.data$l9888*(0.132467406220621)","20140101T20151231"
"74","c9888","p9888","v9888","0.444543147921599","-0.0781420224202197","0.359560491686437","index.data$c9888* (-1)+index.data$p9888*(-0.0781420224202197)+index.data$v9888*(0.359560491686437)","20140101T20151231"
"26","a9888","l9888","p9888","0.442579155863233","0.0940895733491284","0.0926100484767488","index.data$a9888* (-1)+index.data$l9888*(0.0940895733491284)+index.data$p9888*(0.0926100484767488)","20140101T20151231"
"23","a9888","TA888","l9888","0.438517996142125","0.0676306359883723","0.0821072546448305","index.data$a9888* (-1)+index.data$TA888*(0.0676306359883723)+index.data$l9888*(0.0821072546448305)","20140101T20151231"
"68","c9888","SR888","v9888","0.437989498304392","-0.0504231622114547","0.257205907978728","index.data$c9888* (-1)+index.data$SR888*(-0.0504231622114547)+index.data$v9888*(0.257205907978728)","20140101T20151231"
"1","a9888","y9888","m9888","0.432852393779688","-0.141498842753613","0.579607591494616","index.data$a9888* (-1)+index.data$y9888*(-0.141498842753613)+index.data$m9888*(0.579607591494616)","20140101T20151231"
"77","SR888","TA888","v9888","0.430520892372237","-0.200192255872703","-0.152646126495544","index.data$SR888* (-1)+index.data$TA888*(-0.200192255872703)+index.data$v9888*(-0.152646126495544)","20140101T20151231"
"24","a9888","TA888","p9888","0.430196424959752","0.110049837878921","0.103257181980845","index.data$a9888* (-1)+index.data$TA888*(0.110049837878921)+index.data$p9888*(0.103257181980845)","20140101T20151231"
"76","SR888","TA888","p9888","0.4300895316408","-0.209252764083775","-0.117581665656552","index.data$SR888* (-1)+index.data$TA888*(-0.209252764083775)+index.data$p9888*(-0.117581665656552)","20140101T20151231"
