"","V1","V2","Rsqure","V4","formula","period"
"3","a9888","c9888","0.371982773742057","1.01136528717317","index.data$a9888* (-1)+index.data$c9888*(1.01136528717317)","20110101T20151231"
"9","y9888","m9888","0.346991079935784","2.62768794261942","index.data$y9888* (-1)+index.data$m9888*(2.62768794261942)","20110101T20151231"
"6","a9888","l9888","0.315488402083937","0.133425600383066","index.data$a9888* (-1)+index.data$l9888*(0.133425600383066)","20110101T20151231"
"18","m9888","TA888","0.314011282721135","0.118968710084589","index.data$m9888* (-1)+index.data$TA888*(0.118968710084589)","20110101T20151231"
"21","m9888","v9888","0.298849391815642","0.229119983499378","index.data$m9888* (-1)+index.data$v9888*(0.229119983499378)","20110101T20151231"
"5","a9888","TA888","0.279354366552314","0.0723696163932623","index.data$a9888* (-1)+index.data$TA888*(0.0723696163932623)","20110101T20151231"
"34","l9888","p9888","0.264598789366759","0.340828197403397","index.data$l9888* (-1)+index.data$p9888*(0.340828197403397)","20110101T20151231"
"1","a9888","y9888","0.259324237327882","0.0736250044221314","index.data$a9888* (-1)+index.data$y9888*(0.0736250044221314)","20110101T20151231"
"8","a9888","v9888","0.258641717899661","0.137468907579757","index.data$a9888* (-1)+index.data$v9888*(0.137468907579757)","20110101T20151231"
"24","c9888","l9888","0.253979623377382","0.0721938619696227","index.data$c9888* (-1)+index.data$l9888*(0.0721938619696227)","20110101T20151231"
"20","m9888","p9888","0.251157432195831","0.122304845296676","index.data$m9888* (-1)+index.data$p9888*(0.122304845296676)","20110101T20151231"
"13","y9888","l9888","0.24550711161757","0.814096196488325","index.data$y9888* (-1)+index.data$l9888*(0.814096196488325)","20110101T20151231"
"16","m9888","c9888","0.185485292320398","1.10734501865663","index.data$m9888* (-1)+index.data$c9888*(1.10734501865663)","20110101T20151231"
"7","a9888","p9888","0.169750861357438","0.064847770746328","index.data$a9888* (-1)+index.data$p9888*(0.064847770746328)","20110101T20151231"
"26","c9888","v9888","0.156139831900833","0.0644117973626216","index.data$c9888* (-1)+index.data$v9888*(0.0644117973626216)","20110101T20151231"
"23","c9888","TA888","0.11506338668379","0.0280091858750826","index.data$c9888* (-1)+index.data$TA888*(0.0280091858750826)","20110101T20151231"
"25","c9888","p9888","0.0859602818755189","0.0278285990794184","index.data$c9888* (-1)+index.data$p9888*(0.0278285990794184)","20110101T20151231"
"10","y9888","c9888","0.078661757286946","3.21680453255035","index.data$y9888* (-1)+index.data$c9888*(3.21680453255035)","20110101T20151231"
"28","SR888","l9888","0.0457536451102573","0.168387282168616","index.data$SR888* (-1)+index.data$l9888*(0.168387282168616)","20110101T20151231"
"17","m9888","SR888","0.0030289795130191","0.025750210554271","index.data$m9888* (-1)+index.data$SR888*(0.025750210554271)","20110101T20151231"
"22","c9888","SR888","0.000273843667952979","-0.00301131197548139","index.data$c9888* (-1)+index.data$SR888*(-0.00301131197548139)","20110101T20151231"
"4","a9888","SR888","0.000189145240870484","0.00415000612763535","index.data$a9888* (-1)+index.data$SR888*(0.00415000612763535)","20110101T20151231"
"26","c9888","v9888","6.98129545537231e-05","-0.00165752492718087","index.data$c9888* (-1)+index.data$v9888*(-0.00165752492718087)","20100101T20151231"
"14","y9888","p9888","0.941270811799591","1.03691654950775","index.data$y9888* (-1)+index.data$p9888*(1.03691654950775)","20100101T20151231"
"33","TA888","v9888","0.841855343274854","1.62833634742048","index.data$TA888* (-1)+index.data$v9888*(1.62833634742048)","20100101T20151231"
"32","TA888","p9888","0.799621366457321","1.01935782895586","index.data$TA888* (-1)+index.data$p9888*(1.01935782895586)","20100101T20151231"
"12","y9888","TA888","0.787504183213097","0.832009867975457","index.data$y9888* (-1)+index.data$TA888*(0.832009867975457)","20100101T20151231"
"36","p9888","v9888","0.74329700473749","1.34221505130468","index.data$p9888* (-1)+index.data$v9888*(1.34221505130468)","20100101T20151231"
"15","y9888","v9888","0.669477163683036","1.36142997117195","index.data$y9888* (-1)+index.data$v9888*(1.36142997117195)","20100101T20151231"
"29","SR888","p9888","0.661622187204045","0.431769724754098","index.data$SR888* (-1)+index.data$p9888*(0.431769724754098)","20100101T20151231"
"3","a9888","c9888","0.596269077393054","1.16688877775712","index.data$a9888* (-1)+index.data$c9888*(1.16688877775712)","20100101T20151231"
"11","y9888","SR888","0.594813330810882","1.55285069342797","index.data$y9888* (-1)+index.data$SR888*(1.55285069342797)","20100101T20151231"
"35","l9888","v9888","0.547935980862306","0.818377027314189","index.data$l9888* (-1)+index.data$v9888*(0.818377027314189)","20100101T20151231"
"2","a9888","m9888","0.530595676699974","0.576436740587719","index.data$a9888* (-1)+index.data$m9888*(0.576436740587719)","20100101T20151231"
"31","TA888","l9888","0.523670861738926","1.16162530907202","index.data$TA888* (-1)+index.data$l9888*(1.16162530907202)","20100101T20151231"
"27","SR888","TA888","0.467715258582308","0.318458949396396","index.data$SR888* (-1)+index.data$TA888*(0.318458949396396)","20100101T20151231"
"30","SR888","v9888","0.391163106969955","0.516852966413277","index.data$SR888* (-1)+index.data$v9888*(0.516852966413277)","20100101T20151231"
"9","y9888","m9888","0.333475527209712","2.53646473628419","index.data$y9888* (-1)+index.data$m9888*(2.53646473628419)","20100101T20151231"
"19","m9888","l9888","0.313291342943041","0.19178571491194","index.data$m9888* (-1)+index.data$l9888*(0.19178571491194)","20100101T20151231"
"34","l9888","p9888","0.296369192195903","0.386602034202563","index.data$l9888* (-1)+index.data$p9888*(0.386602034202563)","20100101T20151231"
"18","m9888","TA888","0.258409078561347","0.108507331057767","index.data$m9888* (-1)+index.data$TA888*(0.108507331057767)","20100101T20151231"
"13","y9888","l9888","0.24764652801784","0.748953794296079","index.data$y9888* (-1)+index.data$l9888*(0.748953794296079)","20100101T20151231"
"16","m9888","c9888","0.229900643058256","0.915605962508673","index.data$m9888* (-1)+index.data$c9888*(0.915605962508673)","20100101T20151231"
"20","m9888","p9888","0.22749367104199","0.116057797571644","index.data$m9888* (-1)+index.data$p9888*(0.116057797571644)","20100101T20151231"
"1","a9888","y9888","0.16500279991974","0.0731844161206263","index.data$a9888* (-1)+index.data$y9888*(0.0731844161206263)","20100101T20151231"
"21","m9888","v9888","0.154983835611832","0.149133009112289","index.data$m9888* (-1)+index.data$v9888*(0.149133009112289)","20100101T20151231"
"5","a9888","TA888","0.115470762119607","0.0573998839068526","index.data$a9888* (-1)+index.data$TA888*(0.0573998839068526)","20100101T20151231"
"7","a9888","p9888","0.0851220536300819","0.0561798418019644","index.data$a9888* (-1)+index.data$p9888*(0.0561798418019644)","20100101T20151231"
"6","a9888","l9888","0.0844678523527923","0.0788056916383469","index.data$a9888* (-1)+index.data$l9888*(0.0788056916383469)","20100101T20151231"
"28","SR888","l9888","0.0693406115075689","0.196830947683164","index.data$SR888* (-1)+index.data$l9888*(0.196830947683164)","20100101T20151231"
"10","y9888","c9888","0.041830343985428","1.71546192023941","index.data$y9888* (-1)+index.data$c9888*(1.71546192023941)","20100101T20151231"
"24","c9888","l9888","0.0322881527877551","0.0322422350164209","index.data$c9888* (-1)+index.data$l9888*(0.0322422350164209)","20100101T20151231"
"25","c9888","p9888","0.027803123451901","0.0212470157639751","index.data$c9888* (-1)+index.data$p9888*(0.0212470157639751)","20100101T20151231"
"23","c9888","TA888","0.0239067064514994","0.0172832954031435","index.data$c9888* (-1)+index.data$TA888*(0.0172832954031435)","20100101T20151231"
"8","a9888","v9888","0.0190480458450937","0.041373817325744","index.data$a9888* (-1)+index.data$v9888*(0.041373817325744)","20100101T20151231"
"17","m9888","SR888","0.0154169903945422","0.0569170404456521","index.data$m9888* (-1)+index.data$SR888*(0.0569170404456521)","20100101T20151231"
"4","a9888","SR888","0.0144886664776289","0.0436643014619803","index.data$a9888* (-1)+index.data$SR888*(0.0436643014619803)","20100101T20151231"
"22","c9888","SR888","0.00841944126372432","0.0220265066916078","index.data$c9888* (-1)+index.data$SR888*(0.0220265066916078)","20100101T20151231"
