"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"20","a9888","SR888","l9888","0.6347230011854","-0.556461380722613","0.184369595581572","a9888* (-1)+SR888*(-0.556461380722613)+l9888*(0.184369595581572)","2015-01-01T2015-12-31"
"19","a9888","SR888","TA888","0.631400143046996","-0.647722870484048","0.490045387118733","a9888* (-1)+SR888*(-0.647722870484048)+TA888*(0.490045387118733)","2015-01-01T2015-12-31"
"12","a9888","m9888","p9888","0.630302775012921","0.97117497509488","0.311614136811688","a9888* (-1)+m9888*(0.97117497509488)+p9888*(0.311614136811688)","2015-01-01T2015-12-31"
"56","m9888","SR888","l9888","0.629570566677856","-0.309941523138431","0.122234685849061","m9888* (-1)+SR888*(-0.309941523138431)+l9888*(0.122234685849061)","2015-01-01T2015-12-31"
"73","c9888","l9888","v9888","0.622953202547818","0.0755716429152349","0.439023622712485","c9888* (-1)+l9888*(0.0755716429152349)+v9888*(0.439023622712485)","2015-01-01T2015-12-31"
"71","c9888","TA888","v9888","0.616666637883496","-0.00414983996534126","0.572010130785828","c9888* (-1)+TA888*(-0.00414983996534126)+v9888*(0.572010130785828)","2015-01-01T2015-12-31"
"67","c9888","SR888","p9888","0.615211595185321","-0.353189843476197","0.670193417348872","c9888* (-1)+SR888*(-0.353189843476197)+p9888*(0.670193417348872)","2015-01-01T2015-12-31"
"81","TA888","l9888","p9888","0.614877290463874","0.256182266239519","0.172976333148408","TA888* (-1)+l9888*(0.256182266239519)+p9888*(0.172976333148408)","2015-01-01T2015-12-31"
"82","TA888","l9888","v9888","0.608071735547405","0.19502472017445","0.211086148284512","TA888* (-1)+l9888*(0.19502472017445)+v9888*(0.211086148284512)","2015-01-01T2015-12-31"
"45","y9888","TA888","p9888","0.607628259734237","0.121249731250377","0.32603718755843","y9888* (-1)+TA888*(0.121249731250377)+p9888*(0.32603718755843)","2015-01-01T2015-12-31"
"1","a9888","y9888","m9888","0.594980991466171","0.506865382801763","1.1977206669502","a9888* (-1)+y9888*(0.506865382801763)+m9888*(1.1977206669502)","2015-01-01T2015-12-31"
"49","y9888","p9888","v9888","0.591784819981456","0.45564438558428","-0.0704926877942728","y9888* (-1)+p9888*(0.45564438558428)+v9888*(-0.0704926877942728)","2015-01-01T2015-12-31"
"47","y9888","l9888","p9888","0.58540246383537","-0.0282544217002775","0.436199172997756","y9888* (-1)+l9888*(-0.0282544217002775)+p9888*(0.436199172997756)","2015-01-01T2015-12-31"
"8","a9888","m9888","c9888","0.584916169584138","0.782175979186356","0.313498370720014","a9888* (-1)+m9888*(0.782175979186356)+c9888*(0.313498370720014)","2015-01-01T2015-12-31"
"83","TA888","p9888","v9888","0.577484624265526","0.135255891622521","0.48140186769814","TA888* (-1)+p9888*(0.135255891622521)+v9888*(0.48140186769814)","2015-01-01T2015-12-31"
"70","c9888","TA888","p9888","0.564539051265549","0.260272776619937","0.550647873587024","c9888* (-1)+TA888*(0.260272776619937)+p9888*(0.550647873587024)","2015-01-01T2015-12-31"
"69","c9888","TA888","l9888","0.563752557688147","0.025762216995053","0.28051350895893","c9888* (-1)+TA888*(0.025762216995053)+l9888*(0.28051350895893)","2015-01-01T2015-12-31"
"58","m9888","SR888","v9888","0.559780211984913","-0.277686957336965","0.208740003057494","m9888* (-1)+SR888*(-0.277686957336965)+v9888*(0.208740003057494)","2015-01-01T2015-12-31"
"13","a9888","m9888","v9888","0.555938149095013","0.837410976539838","0.191483531443393","a9888* (-1)+m9888*(0.837410976539838)+v9888*(0.191483531443393)","2015-01-01T2015-12-31"
"21","a9888","SR888","p9888","0.546452037947452","-0.465083069978217","0.398871839516765","a9888* (-1)+SR888*(-0.465083069978217)+p9888*(0.398871839516765)","2015-01-01T2015-12-31"
"10","a9888","m9888","TA888","0.543591768539088","1.02400818301034","0.20401228139732","a9888* (-1)+m9888*(1.02400818301034)+TA888*(0.20401228139732)","2015-01-01T2015-12-31"
"9","a9888","m9888","SR888","0.54143856230815","0.923432931377641","-0.25032655578981","a9888* (-1)+m9888*(0.923432931377641)+SR888*(-0.25032655578981)","2015-01-01T2015-12-31"
"14","a9888","c9888","SR888","0.533152692771096","0.431045295395163","-0.323871209085601","a9888* (-1)+c9888*(0.431045295395163)+SR888*(-0.323871209085601)","2015-01-01T2015-12-31"
