"","V1","V2","Rsqure","V4","formula","kurtosis","skewness","period"
"10","y9888","c9888","0.0855990020707877","0.157451421689469","y9888* (-1)+c9888*(0.157451421689469)",-0.775632648072171,0.0180777446853423,"2015-01-01T2015-12-31"
"11","y9888","SR888","0.0760482463162483","0.168217187459255","y9888* (-1)+SR888*(0.168217187459255)",-0.555734981766611,-0.160285285994848,"2015-01-01T2015-12-31"
"18","m9888","TA888","0.0748691930887203","0.137232809736146","m9888* (-1)+TA888*(0.137232809736146)",-0.838588593330442,0.503817500596252,"2015-01-01T2015-12-31"
"20","m9888","p9888","0.0657021739652789","0.124737240209276","m9888* (-1)+p9888*(0.124737240209276)",-0.466334406879621,0.81336657453877,"2015-01-01T2015-12-31"
"27","SR888","TA888","0.0653891157403835","0.224641729055144","SR888* (-1)+TA888*(0.224641729055144)",0.348322547245123,0.884750196830267,"2015-01-01T2015-12-31"
"1","a9888","y9888","0.0613863699462055","0.377681335009492","a9888* (-1)+y9888*(0.377681335009492)",-0.417504125384044,0.623451314863037,"2015-01-01T2015-12-31"
"9","y9888","m9888","0.0132806968982418","-0.123131032185209","y9888* (-1)+m9888*(-0.123131032185209)",-0.495220477666082,-0.249680356182257,"2015-01-01T2015-12-31"
"28","SR888","l9888","0.00890911690537253","0.031967941613706","SR888* (-1)+l9888*(0.031967941613706)",0.16416013728277,0.928732918662008,"2015-01-01T2015-12-31"
"29","SR888","p9888","0.00730554624752594","-0.0728557662831243","SR888* (-1)+p9888*(-0.0728557662831243)",0.141298826209094,0.89947534483307,"2015-01-01T2015-12-31"
"141","y9888","p9888","0.916073344989753","0.89910461818329","y9888* (-1)+p9888*(0.89910461818329)",-0.318856167247335,-0.346394694197732,"2014-01-01T2015-12-31"
"351","l9888","v9888","0.846943397950297","2.22294989870813","l9888* (-1)+v9888*(2.22294989870813)",0.440673063048662,-0.0116623368545371,"2014-01-01T2015-12-31"
"311","TA888","l9888","0.841944547633278","0.725409127784853","TA888* (-1)+l9888*(0.725409127784853)",-0.587239897757563,0.225549639211705,"2014-01-01T2015-12-31"
"91","y9888","m9888","0.79156202834546","1.25429335264931","y9888* (-1)+m9888*(1.25429335264931)",-0.257605175233078,-0.449822458920395,"2014-01-01T2015-12-31"
"331","TA888","v9888","0.750899988154529","1.65475918890636","TA888* (-1)+v9888*(1.65475918890636)",-0.456294194523063,-0.174956502510751,"2014-01-01T2015-12-31"
"201","m9888","p9888","0.74293714968234","0.574333962378505","m9888* (-1)+p9888*(0.574333962378505)",0.119133719049903,-0.0613892854404429,"2014-01-01T2015-12-31"
"361","p9888","v9888","0.732960906651766","0.995269292679503","p9888* (-1)+v9888*(0.995269292679503)",0.242782562851823,-0.225760535133161,"2014-01-01T2015-12-31"
"191","m9888","l9888","0.732347561426198","0.274438349388352","m9888* (-1)+l9888*(0.274438349388352)",-0.527029919289697,-0.00872031461308715,"2014-01-01T2015-12-31"
"121","y9888","TA888","0.726366956172358","0.487393340581016","y9888* (-1)+TA888*(0.487393340581016)",0.288052158586084,-0.494823811004331,"2014-01-01T2015-12-31"
"321","TA888","p9888","0.703944122387194","1.37820127447646","TA888* (-1)+p9888*(1.37820127447646)",-0.426532639617587,-0.671118502905187,"2014-01-01T2015-12-31"
"181","m9888","TA888","0.702895161022666","0.340087119622129","m9888* (-1)+TA888*(0.340087119622129)",0.0687832738618583,-0.508963027413473,"2014-01-01T2015-12-31"
"341","l9888","p9888","0.689880785696061","1.72579539857096","l9888* (-1)+p9888*(1.72579539857096)",-0.413210538610961,0.289950131101853,"2014-01-01T2015-12-31"
"211","m9888","v9888","0.673749907521876","0.635825613670765","m9888* (-1)+v9888*(0.635825613670765)",0.197125106635272,-0.0364701463718442,"2014-01-01T2015-12-31"
"131","y9888","l9888","0.667476557336196","0.369369330017086","y9888* (-1)+l9888*(0.369369330017086)",-0.0581091057680823,-0.574272596196941,"2014-01-01T2015-12-31"
"151","y9888","v9888","0.62817830076245","0.865539255035024","y9888* (-1)+v9888*(0.865539255035024)",-0.460563466300574,-0.317019076734899,"2014-01-01T2015-12-31"
"41","a9888","SR888","0.576690692799455","-0.466599337760606","a9888* (-1)+SR888*(-0.466599337760606)",0.00177235243261897,0.345213041565851,"2014-01-01T2015-12-31"
"81","a9888","v9888","0.555527558675087","0.363428615978287","a9888* (-1)+v9888*(0.363428615978287)",-0.0426045550015255,0.124486762993055,"2014-01-01T2015-12-31"
"261","c9888","v9888","0.434783857157674","0.282729322935599","c9888* (-1)+v9888*(0.282729322935599)",-0.639172688297503,-0.34314926163805,"2014-01-01T2015-12-31"
"61","a9888","l9888","0.429087555223284","0.132232069336749","a9888* (-1)+l9888*(0.132232069336749)",-0.709312552030674,0.01724473299102,"2014-01-01T2015-12-31"
"271","SR888","TA888","0.422823248775019","-0.270227377108514","SR888* (-1)+TA888*(-0.270227377108514)",-0.581621131171515,0.275948430239508,"2014-01-01T2015-12-31"
"210","a9888","m9888","0.414072001246551","0.40505648427403","a9888* (-1)+m9888*(0.40505648427403)",-0.820257654422254,0.169701372022427,"2014-01-01T2015-12-31"
"51","a9888","TA888","0.412826902310131","0.164061454973928","a9888* (-1)+TA888*(0.164061454973928)",-0.321392594025381,0.476043748968596,"2014-01-01T2015-12-31"
"37","a9888","c9888","0.412561907192668","0.730426853741704","a9888* (-1)+c9888*(0.730426853741704)",-0.341940063050737,0.435418014505362,"2014-01-01T2015-12-31"
"171","m9888","SR888","0.400837855931714","-0.61798702350847","m9888* (-1)+SR888*(-0.61798702350847)",0.171787884583555,-0.697075894688051,"2014-01-01T2015-12-31"
"301","SR888","v9888","0.374629275182418","-0.485729550029121","SR888* (-1)+v9888*(-0.485729550029121)",-0.381846998783746,-0.259101677069017,"2014-01-01T2015-12-31"
"71","a9888","p9888","0.372345767141439","0.255940684750201","a9888* (-1)+p9888*(0.255940684750201)",-0.131283726283685,0.564160747690179,"2014-01-01T2015-12-31"
"291","SR888","p9888","0.354954146560279","-0.406705080036533","SR888* (-1)+p9888*(-0.406705080036533)",-0.769053628183666,0.225695836989097,"2014-01-01T2015-12-31"
"241","c9888","l9888","0.30554408742522","0.09812250086104","c9888* (-1)+l9888*(0.09812250086104)",-0.824513196277989,0.0170402022246751,"2014-01-01T2015-12-31"
"281","SR888","l9888","0.284685060943607","-0.175296613818685","SR888* (-1)+l9888*(-0.175296613818685)",-0.601756386213769,0.170708305933508,"2014-01-01T2015-12-31"
"111","y9888","SR888","0.266456559080968","-0.710337663772947","y9888* (-1)+SR888*(-0.710337663772947)",-0.776193256471481,-0.491300501467482,"2014-01-01T2015-12-31"
"251","c9888","p9888","0.256970695405062","0.18697164476782","c9888* (-1)+p9888*(0.18697164476782)",-0.756797423206501,0.104437228917849,"2014-01-01T2015-12-31"
"110","a9888","y9888","0.253939918046084","0.225002062673016","a9888* (-1)+y9888*(0.225002062673016)",-0.0185559540872915,0.677744570121888,"2014-01-01T2015-12-31"
"221","c9888","SR888","0.214546357285595","-0.250265538262479","c9888* (-1)+SR888*(-0.250265538262479)",-0.604966250007948,0.0587622682440394,"2014-01-01T2015-12-31"
"161","m9888","c9888","0.172070032623711","0.749388687213451","m9888* (-1)+c9888*(0.749388687213451)",-0.714226123713566,-0.584619839955473,"2014-01-01T2015-12-31"
"231","c9888","TA888","0.165789761406947","0.0914259008411975","c9888* (-1)+TA888*(0.0914259008411975)",-0.628709034712502,0.360945064540642,"2014-01-01T2015-12-31"
"101","y9888","c9888","0.0971199196521189","0.793716326484389","y9888* (-1)+c9888*(0.793716326484389)",-0.908702149782751,-0.569343938320558,"2014-01-01T2015-12-31"
"332","TA888","v9888","0.877440337973044","2.03024508562341","TA888* (-1)+v9888*(2.03024508562341)",-0.145890744018311,0.0249678422444694,"2013-01-01T2015-12-31"
"142","y9888","p9888","0.858429161121439","1.23595404359983","y9888* (-1)+p9888*(1.23595404359983)",-1.02763009899195,-0.517031636031421,"2013-01-01T2015-12-31"
"122","y9888","TA888","0.854509313276728","0.618456914366567","y9888* (-1)+TA888*(0.618456914366567)",0.190723818892182,-0.177671210885785,"2013-01-01T2015-12-31"
"192","m9888","l9888","0.751560952431632","0.291624271665366","m9888* (-1)+l9888*(0.291624271665366)",-0.276454226443906,0.228722302140503,"2013-01-01T2015-12-31"
"322","TA888","p9888","0.737829622179105","1.71268339073101","TA888* (-1)+p9888*(1.71268339073101)",-0.0399905802832161,-0.435961996039007,"2013-01-01T2015-12-31"
"152","y9888","v9888","0.737210782856744","1.24504932847899","y9888* (-1)+v9888*(1.24504932847899)",0.53756850988398,-0.861791733538521,"2013-01-01T2015-12-31"
"352","l9888","v9888","0.711728918154199","1.52661869795879","l9888* (-1)+v9888*(1.52661869795879)",0.120008956751336,-0.419186953132725,"2013-01-01T2015-12-31"
"362","p9888","v9888","0.710273992484381","0.916122572258795","p9888* (-1)+v9888*(0.916122572258795)",-0.0689286601664563,0.0766470623089936,"2013-01-01T2015-12-31"
"212","m9888","v9888","0.663063037080313","0.49566955406462","m9888* (-1)+v9888*(0.49566955406462)",0.626716423169886,-0.604320886808361,"2013-01-01T2015-12-31"
"82","a9888","v9888","0.659178808441635","0.350827519612693","a9888* (-1)+v9888*(0.350827519612693)",-0.170028753760993,0.228618704820348,"2013-01-01T2015-12-31"
"312","TA888","l9888","0.653415396369293","0.968191087068732","TA888* (-1)+l9888*(0.968191087068732)",-0.851484969203318,-0.407271263424197,"2013-01-01T2015-12-31"
"182","m9888","TA888","0.641004756711086","0.224856678262486","m9888* (-1)+TA888*(0.224856678262486)",0.822005929477368,-0.952782358705587,"2013-01-01T2015-12-31"
"202","m9888","p9888","0.627666209750775","0.443648054683553","m9888* (-1)+p9888*(0.443648054683553)",0.366757299057886,-0.619195398681874,"2013-01-01T2015-12-31"
"342","l9888","p9888","0.608455577121286","1.29851533243651","l9888* (-1)+p9888*(1.29851533243651)",-0.616355668904628,0.0457205491459748,"2013-01-01T2015-12-31"
"52","a9888","TA888","0.601564464430416","0.154629891594833","a9888* (-1)+TA888*(0.154629891594833)",-0.0653379413317978,0.470223675908595,"2013-01-01T2015-12-31"
"92","y9888","m9888","0.568353047660344","1.79591170549373","y9888* (-1)+m9888*(1.79591170549373)",0.824957236337732,-1.07555534686977,"2013-01-01T2015-12-31"
"72","a9888","p9888","0.550939900964254","0.295055368043777","a9888* (-1)+p9888*(0.295055368043777)",0.0577993616568278,0.66783012449735,"2013-01-01T2015-12-31"
"112","a9888","y9888","0.537869092706184","0.218544363555487","a9888* (-1)+y9888*(0.218544363555487)",0.689893408998823,0.704290315398785,"2013-01-01T2015-12-31"
"132","y9888","l9888","0.474901169215287","0.552228818707065","y9888* (-1)+l9888*(0.552228818707065)",0.406260365074877,-0.92418050010915,"2013-01-01T2015-12-31"
"213","a9888","m9888","0.464598488415549","0.48385596148194","a9888* (-1)+m9888*(0.48385596148194)",-0.956039814803703,0.0886768831312786,"2013-01-01T2015-12-31"
"62","a9888","l9888","0.416826136210998","0.154168708570105","a9888* (-1)+l9888*(0.154168708570105)",-0.783459762795408,-0.122616013156014,"2013-01-01T2015-12-31"
"38","a9888","c9888","0.402666532771124","0.931732411770532","a9888* (-1)+c9888*(0.931732411770532)",-0.0607483712589483,0.588411064226879,"2013-01-01T2015-12-31"
"262","c9888","v9888","0.349450851730866","0.173966910289669","c9888* (-1)+v9888*(0.173966910289669)",-0.0942870131490179,-0.0189002007704717,"2013-01-01T2015-12-31"
"242","c9888","l9888","0.302494589364608","0.0894456311305082","c9888* (-1)+l9888*(0.0894456311305082)",-0.116799371353133,0.151666058669625,"2013-01-01T2015-12-31"
"252","c9888","p9888","0.272339120686603","0.141282374919815","c9888* (-1)+p9888*(0.141282374919815)",0.301063263121056,0.295131957441491,"2013-01-01T2015-12-31"
"162","m9888","c9888","0.186862934758107","0.894134430126249","m9888* (-1)+c9888*(0.894134430126249)",-0.886420611438298,0.0235898522255208,"2013-01-01T2015-12-31"
"232","c9888","TA888","0.178861562129146","0.0574238674456047","c9888* (-1)+TA888*(0.0574238674456047)",0.480564072586817,0.642756905171108,"2013-01-01T2015-12-31"
"172","m9888","SR888","0.15371221976033","-0.42047643079188","m9888* (-1)+SR888*(-0.42047643079188)",-1.11768860968792,-0.172450610933094,"2013-01-01T2015-12-31"
"102","y9888","c9888","0.136789593437593","1.82239976066165","y9888* (-1)+c9888*(1.82239976066165)",-0.35905481556507,-0.286618579725568,"2013-01-01T2015-12-31"
"282","SR888","l9888","0.128715074787099","-0.112530127216767","SR888* (-1)+l9888*(-0.112530127216767)",-0.671500068051258,0.323387385503318,"2013-01-01T2015-12-31"
"222","c9888","SR888","0.1107943234034","-0.1725857678129","c9888* (-1)+SR888*(-0.1725857678129)",0.457043935850998,0.92528059846672,"2013-01-01T2015-12-31"
"42","a9888","SR888","0.110156216403978","-0.252679009171051","a9888* (-1)+SR888*(-0.252679009171051)",0.0870327788630401,-0.0338737501622537,"2013-01-01T2015-12-31"
"302","SR888","v9888","0.0497899458228042","-0.126647960765433","SR888* (-1)+v9888*(-0.126647960765433)",-1.02378989280114,0.202719347269297,"2013-01-01T2015-12-31"
"292","SR888","p9888","0.034727436629991","-0.0973023010536713","SR888* (-1)+p9888*(-0.0973023010536713)",-0.943636083804646,0.155997420093892,"2013-01-01T2015-12-31"
"272","SR888","TA888","0.0252568650140403","-0.0416176377976629","SR888* (-1)+TA888*(-0.0416176377976629)",-1.07536536669823,0.177396227957728,"2013-01-01T2015-12-31"
"113","y9888","SR888","0.000266558422115454","0.0417118593062461","y9888* (-1)+SR888*(0.0417118593062461)",-0.563403852306357,-0.539331519618843,"2013-01-01T2015-12-31"
"143","y9888","p9888","0.928366757553233","1.17075584105023","y9888* (-1)+p9888*(1.17075584105023)",-0.97692685868973,-0.477953111767913,"2012-01-01T2015-12-31"
"333","TA888","v9888","0.906432420124934","2.096928299603","TA888* (-1)+v9888*(2.096928299603)",0.312693739696742,0.0254628150446942,"2012-01-01T2015-12-31"
"123","y9888","TA888","0.71282478213574","0.8723548402729","y9888* (-1)+TA888*(0.8723548402729)",0.334601553137546,-0.73705265339177,"2012-01-01T2015-12-31"
"153","y9888","v9888","0.675084036835099","1.86980606906272","y9888* (-1)+v9888*(1.86980606906272)",-0.681232114340709,-0.507872349991248,"2012-01-01T2015-12-31"
"323","TA888","p9888","0.651358445751351","0.949106148700852","TA888* (-1)+p9888*(0.949106148700852)",-1.06579253179509,-0.363354323624321,"2012-01-01T2015-12-31"
"363","p9888","v9888","0.648554959448526","1.50828876274709","p9888* (-1)+v9888*(1.50828876274709)",-0.218994011432196,-0.192639992750578,"2012-01-01T2015-12-31"
"214","a9888","m9888","0.554268456397748","0.483436787472035","a9888* (-1)+m9888*(0.483436787472035)",-0.652765785377292,0.106756011418327,"2012-01-01T2015-12-31"
"83","a9888","v9888","0.547290968768873","0.309762516714888","a9888* (-1)+v9888*(0.309762516714888)",-0.581089322856152,0.327019285410583,"2012-01-01T2015-12-31"
"353","l9888","v9888","0.530238843243274","1.12636567527578","l9888* (-1)+v9888*(1.12636567527578)",-0.0819883864822564,-0.527389259875676,"2012-01-01T2015-12-31"
"215","m9888","v9888","0.508741988115476","0.459926995371868","m9888* (-1)+v9888*(0.459926995371868)",0.447300910800323,-0.540485522487916,"2012-01-01T2015-12-31"
"53","a9888","TA888","0.495053567540469","0.133761138000444","a9888* (-1)+TA888*(0.133761138000444)",-0.287140138225876,0.510853926622064,"2012-01-01T2015-12-31"
"313","TA888","l9888","0.484684187523121","0.99129211941372","TA888* (-1)+l9888*(0.99129211941372)",-1.00958183812411,-0.201879848386712,"2012-01-01T2015-12-31"
"93","y9888","m9888","0.482915756509891","2.45252376180275","y9888* (-1)+m9888*(2.45252376180275)",-0.110810663180355,-0.741270739960543,"2012-01-01T2015-12-31"
"193","m9888","l9888","0.482424437283222","0.289541701044399","m9888* (-1)+l9888*(0.289541701044399)",2.00833983938311,-1.21014362029383,"2012-01-01T2015-12-31"
